aid	title_google	title_onlinedoc	title_deepl
119623	Bayer 04 Leverkusen with light and shadow 	Bayer 04 Leverkusen with light and shadow	Bayer 04 Leverkusen with light and shadow
119624	Car drives pedestrian on Bergisch Gladbacher Straße 	Car hits pedestrians on Bergisch Gladbacher Straße	Car hits pedestrian on Bergisch Gladbacher Straße
119625	"Pinkwart demands ""more than ten billion euros"" "	"Pinkwart calls for ""more than ten billion euros"""	"Pinkwart calls for ""more than ten billion euros"
119627	Experts criticize Indian stones for Wipperfürther market 	Experts criticize Indian stones for Wipperfürth market	Experts criticize Indian stones for Wipperfürth market
119628	Kurds want to hand to Islamists - Federal Government hesitates 	Kurds want to hand over Islamists - German government hesitates	Kurds want to hand over Islamists - German government hesitates
119629	Accessed with Mercedes in Junkersdorf on counterparties 	Driven up to counterparties with Mercedes in Junkersdorf	With Mercedes in Junkersdorf on opponents approached
119630	Cologne Draisaitl The first German since 2000 in NHL-Allstar-Game 	Cologne Draisaitl as the first German since 2000 in the NHL all-star game	Cologne native Draisaitl first German since 2000 in NHL All-Star Game
119631	VW loses in court and has to take a car back 	VW loses in court and has to take back the car	VW loses in court and must take car back
119632	Macedonia's parliament decides to change the national name 	Macedonia's parliament decides to change the country's name	Macedonia's parliament decides to change the country's name
119633	Ex-national player Robert Huth announces career end 	Ex-national player Robert Huth announces the end of his career	Ex-national player Robert Huth announces end of career
119634	South Bavaria in the emergency state - new snow expected 	Southern Bavaria in a state of emergency - new snow expected	Southern Bavaria in a state of emergency - new snow expected
119635	Singer boss receives the Paul-Lincke ring 	Singer Bosse receives the Paul-Lincke-Ring	Singer Bosse receives the Paul Lincke Ring
119636	AS Monaco obliges Spaniard Cesc Fabregas from FC Chelsea 	AS Monaco sign Spaniard Cesc Fabregas from Chelsea	AS Monaco signs Spaniard Cesc Fabregas from Chelsea FC
119637	66-year-old killed in Brand in Arnsberg: Four injured 	66-year-old killed in fire in Arnsberg: four injured	66-year-old killed in fire in Arnsberg: Four injured
119639	Two cars burn in underground car park 	Two cars burn in the underground parking lot	Two cars on fire in underground parking
119640	European politician Brok has a chance on list court 	European politician Brok still has a chance on the list	European politician Brok still has chance on list place
119641	Reggae, cult and basketball: Rasta Vechta surprises all 	Reggae, cult and basketball: RASTA Vechta surprises everyone	Reggae, cult and basketball: RASTA Vechta surprises everyone
119642	Model Eva Padberg wants to donate instead of baby gifts 	Model Eva Padberg wants donations instead of baby gifts	Model Eva Padberg wants donations instead of baby gifts
119643	Fortuna Dusseldorf gives Havard Nielsen to the MSV 	Fortuna Düsseldorf awards Havard Nielsen to the MSV	Fortuna Düsseldorf lends Havard Nielsen to MSV
119644	NBA Professional Schröder founds its own player agency 	NBA professional Schröder founds his own player agency	NBA pro Schröder founds his own player agency
119647	"Kamann: Fine for Ribéry ""Extremely doubtful"" "	"Kamann: Fine for Ribéry ""extremely doubtful"""	"Kamann: Fine for Ribéry ""extremely doubtful""."
119650	Eva Padberg wants to donate instead of baby gifts 	Eva Padberg would like donations instead of baby gifts	Eva Padberg wants donations instead of baby gifts
119651	"""Bond 25"" - lives 007 only once again? "	"""Bond 25"" - Does 007 live only once?"	"""Bond 25"" - Does 007 only live once more?"
119652	EDEKA plans 75 million euros expensive new regional headquarters 	Edeka is planning a new regional headquarters costing 75 million euros	Edeka plans 75 million euro new regional headquarters
119653	Start with new coach: Kerber's shake cable with shaker 	Start with a new trainer: Kerber's move with a shaker	Start with new coach: Kerber's move with Schüttler
119654	Heino Ferch successfully determines the ZDF 	Heino Ferch successfully investigates the ZDF	Heino Ferch successfully investigates on ZDF
119655	Two dead at apartment fire 	Two dead in an apartment fire	Two dead in apartment fire
119656	Sharp competition at smartphones loads Samsung 	Fierce competition in smartphones is a burden on Samsung	Fierce competition for smartphones burdens Samsung
119657	Before Summit with Trump: Kim Jong Un advised with President Xi 	Before the summit with Trump: Kim Jong Un consults with President Xi	Before summit with Trump: Kim Jong Un consults with President Xi
119659	Year of the fire - Munich Re has charged damages for 2018 	Year of Fire - Munich Re has calculated losses for 2018	Year of the fire - Munich Re has calculated losses for 2018
119662	Tomic criticizes Australian open balls after starting victory 	Tomic criticizes Australian Open balls after the opening win	Tomic criticizes Australian Open balls after opening win
119663	Grütte returns paintings on heirs 	Grütters returns paintings to heirs	Grütters returns paintings to heirs
119664	Raser with pace 102 flashed in 50s zone 	Speeders flashed at 102 km / h in the 50 zone	Speeders flashed at speed 102 in 50 zone
119665	Report: London thinks about Brexit's extension 	Report: London considers extending Brexit deadline	Report: London considers Brexit deadline extension
119666	Defense at the BVB - Baldi in the approach? 	Defense emergency at BVB - Balerdi approaching?	Defensive emergency at BVB - Balerdi on approach?
119667	Elections in the East: Threatens the Greens the disenchantment? 	Elections in the East: Are the Greens threatened with disenchantment?	Elections in the East: Are the Greens in danger of being disenchanted?
119668	Sony sold 5.6 million ps4 consoles at Christmas 	Sony sold 5.6 million PS4 consoles this Christmas	Sony sold 5.6 million PS4 consoles at Christmas
119669	Bosch shows autonomously driving concept shuttle in Las Vegas 	Bosch shows a self-driving concept shuttle in Las Vegas	Bosch shows autonomous driving concept shuttle in Las Vegas
119670	RB-Winterneugangang Haidara is in the plan: Feel good 	RB winter newcomer Haidara is on schedule: I feel good	RB winter newcomer Haidara is on schedule: Feeling good
119671	Women in German board members still a rarity 	Women are still a rarity on German executive boards	Women on German boards still a rarity
119672	FC Bayern increases offer for Chelsea Profi Hudson-Odoi 	FC Bayern increases offer for Chelsea professional Hudson-Odoi	FC Bayern increases offer for Chelsea professional Hudson-Odoi
119673	Twins of Kronprinz Frederik celebrate his birthday 	Crown Prince Frederik's twins celebrate their birthday	Crown Prince Frederik twins celebrate birthday
119674	Mena's slippery handling of facts 	Menasse's sloppy handling of facts	Menasse's sloppy handling of facts
119675	Finnish international RISKI denied Katar-Trip 	Finnish international Riski refuses to go to Qatar	Finnish international Riski refuses Qatar trip
119676	Intel wants to conquer market for 5G radio stations 	Intel wants to conquer the market for 5G radio stations	Intel wants to capture market for 5G wireless stations
119677	Watched: Trumps Consultant Bolton in Ankara 	Wiped off: Trump's adviser Bolton in Ankara	Trump's advisor Bolton in Ankara
119678	Bayer Leverkusen wins with new coach first test match 	Bayer Leverkusen wins first friendly with a new coach	Bayer Leverkusen wins first test match with new coach
119679	Up to 10 meters high snowflows make Austrians 	Up to 10 meters high snow drifts make Austrians fear	Snowdrifts up to 10 meters high make Austrians anxious
119680	Nagelsmann criticizes me mentality of the current professionals 	Nagelsmann criticizes the ego mentality of the current professionals	Nagelsmann criticizes ego mentality of current pros
119681	Leverkusen wins with Boscz first test match 	Leverkusen wins first test match with Bosz	Leverkusen wins first test match with Bosz
119682	Bitch of bridge thrown: suspected perpetrator arrested 	Bitch thrown from bridge: Suspected perpetrator arrested	Dog thrown from bridge: Suspected perpetrator arrested
119683	Merkel and Macron: New friendship contract in Aachen 	Merkel and Macron: New friendship treaty in Aachen	Merkel and Macron: New friendship treaty in Aachen
119684	Boeing stays just under Airbus in 2018 	Boeing is just ahead of Airbus in 2018	Boeing remains just ahead of Airbus in 2018
119685	German handballers celebrated in Berlin 	German handball players celebrated in Berlin	German handball players celebrated in Berlin
119686	Last minute victory for Iraq - Saudi Arabia without problems 	Last minute victory for Iraq - Saudi Arabia with no problems	Last minute victory for Iraq - Saudi Arabia without problems
119687	AFD top locks Poggenburg for two years for all offices 	AfD-head locks Poggenburg for two years for all offices	AfD leadership bans Poggenburg from all offices for two years
119689	Iron estate disqualified - not there on Saturday 	Eisenbichler disqualified - not there on Saturday	Eisenbichler disqualified - not participating on Saturday
119690	Kidnapped 13-year-old found live 	Kidnapped 13-year-old found alive	Kidnapped 13-year-old found alive
119691	Trump not ready for emergency declaration 	Trump not yet ready for a declaration of emergency	Trump not yet ready for emergency declaration
119692	Ice Hockey Master Munich completes compulsory task in Krefeld 	Ice hockey master Munich does a compulsory task in Krefeld	Ice hockey champion Munich completes compulsory task in Krefeld
119693	Justice Minister gives after threat to court all-clearing 	Justice Minister gives the all-clear after threatening the court	Justice minister gives all-clear after threat against court
119694	Bayern's basketball player with victory against Milan 	Bayern's basketball player with a win against Milan	Bayern's basketball players with victory against Milan
119695	Wilsberg: God's work and Satan's coal 	Wilsberg: God's work and Satan's coal	Wilsberg: God's work and Satan's coal
119697	I'm a Celebrity, Get Me Out of Here 	I'm a Celebrity, Get Me Out of Here	I am a star - get me out of here
119699	Plovdiw starts his capital year 	Plovdiv starts its capital year	Plovdiv starts its capital year
119700	Cars burned in underground car park 	Cars burned in the underground parking lot	Cars burned in underground parking
119701	Opera singer Theo Adam has died 	Opera singer Theo Adam has died	Opera singer Theo Adam has died
119702	Second World Cup Check: What matters for the handball 	Second World Cup exam: what matters for handball players	Second World Cup test: What matters for the handball players
119703	VFB sports board talking about Badstuber farewell 	VfB sports director ready to talk about Badstuber farewell	VfB sports executive ready to talk about Badstuber's departure
119704	Del-Winter Game: Rhine derby nearly 50,000 people 	DEL Winter Game: Rhine Derby in front of almost 50,000 people	DEL Winter Game: Rhine derby in front of almost 50,000 people
119706	"Bobic to Ribéry: ""What are you for a Vollidiot?"" "	"Bobic zur Ribéry: ""What kind of a complete idiot are you?"""	"Bobic to Ribéry: ""What kind of idiot are you?"""
119707	Volkswagen founded ecostrom provider Elli 	Volkswagen founds green electricity provider Elli	Volkswagen founds green power provider Elli
119708	Investigations on broadcasted data from celebrities continue 	Investigations into data spied on by celebrities are ongoing	Investigations into spied out data of celebrities continue
119709	Geiger convinces with Vlhova victory as a seventh 	Geiger convinces in Vlhova victory in seventh place	Geiger convinces with Vlhova victory as seventh
119710	Tottenham with good chances for final entry 	Tottenham with good chances of reaching the final	Tottenham with good chances of reaching the final
119711	Juso boss after data misuse: BSI must be independent 	Juso boss after data abuse: BSI must become independent	Juso leader after data abuse: BSI must become independent
119712	Cyclists are detected by car and dies 	Cyclist is hit by car and dies	Cyclist is hit by car and dies
119713	RWE demands money for meadow, which will soon be pushed away 	RWE demands money for meadow that will soon be dredged away	RWE demands money for meadow that will soon be dredged away
119714	A full bath burns as many calories like 30 minutes go 	A full bath burns as many calories as 30 minutes of walking	A full bath burns as many calories as 30 minutes of walking at a stretch
119715	Online petition for care children 	Online petition for foster children	Online petition for foster children
119716	Dam locks in the region are filled again 	Dams in the region are filled again	Dams in the region are filled again
119717	Redesign of Michaelsberg significantly advanced 	The redesign of Michaelsberg has made significant progress	Redesign of Michaelsberg significantly advanced
119718	Trees in protective zone in the forest at Dahlem 	Trees felled in the protection zone in the forest near Dahlem	Trees felled in protection zone in forest near Dahlem
119720	"""Picture"": Martin Kid admits meet with Beiersdorfer "	“Image”: Martin Kind admits meeting with Beiersdorfer	"""Bild"": Martin Kind admits meeting with Beiersdorfer"
119721	Novitzki and glue bring with MAV's second victory in a row 	Nowitzki and Kleber get their second win in a row with Mavs	Nowitzki and Kleber get second win in a row with Mavs
119722	First episode is already better than the entire season 2018 	The first episode is already better than the entire 2018 season	First episode is already better than entire 2018 season
119724	Heat year 2018 relieves in heating costs 	Heat year 2018 relieves heating costs	Heat year 2018 provides relief for heating costs
119725	For lack of alternatives back to diesel 	For lack of alternatives back to diesel	Back to diesel for lack of alternatives
119726	Brazil misses surprise at Handball World Cup 	Brazil missed a surprise at the Handball World Cup	Brazil misses surprise at World Handball Championship
119727	Founded death victim in the rubble 	Fourth fatality found in the rubble	Fourth fatality found in the rubble
119728	Wolves: Farm President fears danger to humans 	Wolves: Farmer President fears danger to humans	Wolves: farmer president fears danger for humans
119729	Media: Austrian Canadi Trainer Candidate in Dusseldorf 	Media: Austrian Canadi trainer candidate in Düsseldorf	Media: Austrian Canadi a candidate for coach in Düsseldorf
119730	Fled Saudi Arabine on the way to Canada 	Refugee Saudi Arabian on her way to Canada	Saudi Arabian refugee on her way to Canada
119731	How to find out if they were chopped 	How to find out if you've been hacked	How to find out if you have been hacked
119732	Street buildings discussed with affected citizens 	Road construction subsidies discussed with affected citizens	Road construction contributions discussed with affected citizens
119733	The World Cup title 2007 surpassed all expectations 	The 2007 World Cup exceeded all expectations	The 2007 world championship title exceeded all expectations
119734	Bus rams Warehouses: dead and injured in Ottawa 	Bus rams bus shelter: dead and injured in Ottawa	Bus rams bus shelter: Deaths and injuries in Ottawa
119736	Donald Trumps staged emergency 	Donald Trump's staged emergency	Donald Trump's Staged State of Emergency
119737	Skimming: Significantly less data claw on ATMs in NRW 	Skimming: Significantly less data theft at ATMs in North Rhine-Westphalia	Skimming: Significantly less data theft at ATMs in NRW
119738	Czech Kvitova wins finale in Sydney 	Czech Kvitova wins the final in Sydney	Czech Kvitova wins final in Sydney
119739	Dancefloor with big show - DJ Bobo starts new tour 	Dance floor with a big show - DJ BoBo starts new tour	Dancefloor with a big show - DJ BoBo starts new tour
119740	FDP accuses Olaf Scholz Trickserei at the household 	FDP accuses Olaf Scholz of trickery in the household	FDP accuses Olaf Scholz of budget trickery
119741	VfL Bochum obliges Austrian Baumgartner 	VfL Bochum sign Austrian Baumgartner	VfL Bochum signs Austrian Baumgartner
119742	HSV captain Hunt injured - Return to point game start 	HSV captain Hunt injured - return to the start of the league game	HSV captain Hunt injured - return by the start of the league match
119743	Museum honors Gloria of Thurn and taxis 	Museum does not honor Gloria von Thurn und Taxis after all	Museum does not honor Gloria von Thurn und Taxis after all
119744	"""Have worked to the inhuman"" "	"""Worked to the inhuman"""	"""Worked to the point of inhumanity""."
119745	Several injured in explosion in Parisian city center 	Several people injured in an explosion in downtown Paris	Several injured in explosion in Paris city center
119746	"A professional life in the ""men's world"" "	"A professional life in the ""man's world"""	"A professional life in the ""man's world"
119747	LKA: Hacker attacks in NRW last declining 	LKA: Hacker attacks in North Rhine-Westphalia recently declined	LKA: Hacker attacks in NRW on the decline recently
119748	SV Bergisch Gladbach has to renew artificial turf complex 	SV Bergisch Gladbach has to extensively renew artificial turf	SV Bergisch Gladbach must extensively renew artificial turf
119749	Concern for the future of the Wahner Heide because of climate change 	Concern for the future of the Wahner Heide because of climate change	Concern about the future of the Wahner Heath due to climate change
119750	Station in Wesseling will be moved to the large construction site from Monday 	The train station in Wesseling will be a major construction site from Monday	Station in Wesseling becomes a major construction site as of Monday
119751	Benefit concert for grammar school in Schleiden brings 15,000 euros 	Benefit concert for high school in Schleiden brings in 15,000 euros	Benefit concert for grammar school in Schleiden raises 15,000 euros
119752	Friedhelm Funkel before extension in Dusseldorf 	Friedhelm Funkel before renewal in Düsseldorf	Friedhelm Funkel facing extra time in Düsseldorf
119753	"""The prosecutor"" is just under the jungle camp "	"""The prosecutor"" is just under the jungle camp"	"""The Prosecutor"" narrowly defeats the jungle camp"
119754	Charly Kemmerling hands the Speimanes at Stefan Mertens 	Charly Kemmerling hands the Speimanes over to Stefan Mertens	Charly Kemmerling hands over the Speimanes to Stefan Mertens
119755	University of Cologne introduces unusual jubilee program 	University of Cologne presents an unusual anniversary program	University of Cologne presents unusual anniversary program
119756	Ivanka Trump could become a new World Bank boss 	Ivanka Trump could become the new head of the World Bank	Ivanka Trump could become new World Bank chief
119757	"Silbereisen does not want to miss fisherman as ""best friend"" "	Fischer does not want to miss Silbereisen as his “best friend”	"Silbereisen does not want to miss Fischer as ""best friend"
119758	WWM fans rain over credits 	WWM fans get upset about the opening credits	WWM fans upset about opening credits
119759	Ford wants to start 2021 in the US with Robotaxi Services 	Ford wants to start with Robotaxi services in the USA in 2021	Ford to launch robotic cab services in the U.S. in 2021
119760	Dortmund does not play in Wembley - Spurs Stadium yet 	Dortmund plays in Wembley - Spurs Stadium is not finished yet	Dortmund to play at Wembley - Spurs stadium not yet ready
119761	Thieves steal 125 ingot lead from truck and wake drivers 	Thieves steal 125 bars of lead from trucks and wake drivers	Thieves steal 125 bars of lead from truck and wake up driver
119762	Fight the dog feet: fines and gratures 	Fight the dog poop: fines and free bags	Fighting dog excrement: fines and free bags
119763	Cyclists detected and died by car 	Cyclist hit by car and died	Cyclist hit by car and died
119764	Defendant is designed to rapify woman in Keller 	Defendant allegedly raped woman in basement	Accused allegedly raped woman in basement
119765	"""Feminist debate got through Metoo New Drive"" "	"""MeToo gave the feminist debate a new drive"""	"""Feminist debate has been given new impetus by MeToo""."
119766	Iran at Asia-Cup shortly before the quarter 	Iran at the Asian Cup shortly before the round of 16	Iran close to reaching round of 16 at Asian Cup
119767	Three Germans at persecution in Oberhof in Top 11 	Three Germans in top 11 in pursuit in Oberhof	Three Germans in top 11 in pursuit in Oberhof
119769	Luitz eliminated in Adelboden and injured to shoulder 	Luitz eliminated in Adelboden and injured in the shoulder	Luitz eliminated in Adelboden and injured shoulder
119770	The Germans continue to show much desire to travel 	The Germans continue to show a keen interest in traveling	Germans continue to show a great desire to travel
119771	Combine Graabak too strong - Germans on two and three 	Combiner Graabak too strong - Germans on two and three	Combined Graabak too strong - Germans on second and third place
119772	Again fire in justice encroached hospital 	Prison hospital fire again	Fire again in correctional hospital
119773	More than 1000 people protest against the right populists 	More than 1000 people protest against the right-wing populists	More than 1000 people protest against the right-wing populists
119774	Mainz and Freiburg play again in Spain 2: 2 	Mainz and Freiburg play 2-2 again in Spain	Mainz and Freiburg play 2:2 again in Spain
119775	CDU-MEP Requests List Place for Brok 	CDU MEPs demand a place on the list for Brok	CDU MEPs demand list position for Brok
119776	Heiner Lauterbach does not want to be on the nursing case 	Heiner Lauterbach does not want to be a nursing case in old age	Heiner Lauterbach does not want to become a nursing case in old age
119777	KVB could lose order for local traffic in Cologne 	KVB could lose an order for local transport in Cologne	KVB could lose contract for local transport in Cologne
119778	Trump's campaign manager continued campaign info to Russians 	Trump's campaign manager passed campaign information to Russians	Trump's campaign manager gave campaign info to Russians
119779	"BVB boss Watzke for title fight: ""Favorite is the FC Bayern"" "	"BVB boss Watzke on the title fight: ""Bayern's favorite is"""	"BVB boss Watzke on the title fight: ""FC Bayern is the favorite""."
119780	"Gustavo Dudamel is honored at ""Walk of Fame"" "	Gustavo Dudamel is honored on the “Walk of Fame”	"Gustavo Dudamel is honored on ""Walk of Fame"
119781	12,700 migrants returned to the home 	12,700 migrants returned home	12,700 migrants returned home
119782	Railways of the KVB overloaded - long arrival to the winter game 	KVB railways overloaded - long journey to the winter game	KVB trains overloaded - Long journey to the Wintergame
119784	Rangnick Optimimus at long-term injured Forsberg 	Rangnick optimism in the long-term injured Forsberg	Rangnick optimism with the long-term injured Forsberg
119785	The jungle camp has begun - and Gisele is already crying 	The jungle camp has started - and Gisele is already crying	The jungle camp has begun - and Gisele is already crying
119786	Protests and tough candidate election at AFD-Meeting 	Protests and tough election of candidates at the AfD European Assembly	Protests and tough election of candidates at AfD European meeting
119787	Liverpool wins in Brighton - Arsenal loses at West Ham 	Liverpool win at Brighton - Arsenal lose at West Ham	Liverpool wins at Brighton - Arsenal loses at West Ham
119788	Car runs 16-year-old: life-threatening hurt 	Car runs over 16-year-olds: seriously injured	Car runs over 16-year-old: life-threatening injuries
119789	60-year-old man crashes from bicycle and dies 	60-year-old man falls from a bicycle and dies	60-year-old man falls from bicycle and dies
119790	Cologne music culture absolutely unique in the world 	Cologne music culture is absolutely unique in the world	Cologne music culture absolutely unique in the world
119791	Severin friend in the Continental Cup on the podium 	Severin Freund on the podium in the Continental Cup	Severin Freund on the podium in the Continental Cup
119792	Unborn baby dies after attack on pregnant women 	Unborn baby dies after attack on pregnant woman	Unborn baby dies after attack on pregnant woman
119793	Cologne Haie lose the winter game in the extension 	Kölner Haie lose the winter game in extra time	Cologne Sharks lose the Wintergame in overtime
119794	Paris Saint-Germain answers back 	Paris Saint-Germain is back	Paris Saint-Germain reports back
119795	German handballers are clearly winning Brazil 	German handball players clearly win against Brazil	German handball players win clearly against Brazil
119796	Gogulla meets twice at DEG victory in Cologne 	Gogulla scores twice in DEG victory in Cologne	Gogulla scores twice in DEG win in Cologne
119797	German handball players at home World Cup on course 	German handball players on course at home World Cup	German handball players on course for home World Cup
119798	Rasta Vechta with next surprise 	RASTA Vechta with the next surprise	RASTA Vechta with next surprise
119799	DEG wins 222. Derby and Winter Game 	DEG wins 222nd Derby and Winter Game	DEG wins 222nd Derby and Winter Game
119800	Dispute over election result in the Congo 	Dispute over election results in the Congo	Dispute over election results in Congo
119801	EMERY defends Özil-Western at West Ham Lane 	Emery defends Özil waiver in West Ham bankruptcy	Emery defends Özil waiver in West Ham defeat
119804	"Jürgen von der Lippe hounds with his ""battle weight"" "	"Jürgen von der Lippe struggles with his ""slaughter weight"""	"Jürgen von der Lippe struggles with his ""slaughter weight"
119805	Juventus Turin stands in the Cup quarter-final	Juventus Turin is in the cup quarter-finals	Juventus Torino is in the Cup quarterfinals
119806	Minister Spahn wants to make liposuctions to the cash benefit 	Minister Spahn wants to make liposuction a cash benefit	Minister Spahn wants to make liposuction a health insurance benefit
119807	France remains first pursuer of the German handball 	France remains the first pursuer of the German handball players	France remains first pursuer of the German handball players
119808	From pain defeated 	Conquered by pain	Defeated by pain
119809	Ice storm: Cologne / Bonn Airport LABED for an hour 	Freezing rain: Cologne / Bonn airport paralyzed for an hour	Freezing rain: Cologne/Bonn Airport paralyzed for an hour
119810	Real Madrid in the Cup on quarterfinal course 	Real Madrid in the cup on the quarter-finals course	Real Madrid on course for quarter-finals in Cup
119811	This brings winter sports on Sunday 	That is what winter sports bring on Sunday	This brings the winter sports on Sunday
119812	Raid in London gives inspiration for thriller 	Raid in London provides inspiration for thrillers	Robbery in London gives inspiration for thriller
119813	Hat basal in Brühl makes the end of February 	Hut Fußel in Brühl closes at the end of February	Hut Fußel in Brühl closes at the end of February
119814	Victory should return to her natural bed 	Victory should return to its natural bed	Victory should return to their natural bed
119815	After death of Wolfgang Orth - if important hosts go 	After the death of Wolfgang Orth - when important hosts leave	After the death of Wolfgang Orth - When important hosts leave
119816	Zülpicher entrepreneur as a speaker at coal commission 	Zülpich entrepreneur as a speaker at the coal commission	Zülpicher entrepreneur as speaker at coal commission
119817	"""We need builders"" "	"""We need building space"""	"""We need building land"""
119818	Commemoration of Luxembourg and Liebknecht 	Memory of Luxemburg and Liebknecht	Commemoration of Luxemburg and Liebknecht
119819	And daily the Miracle Morning greets 	And the Miracle Morning greets you every day	And daily greets the Miracle Morning
119820	Cathedral hotel operator wishes to drive across Roncalliplatz 	Dom Hotel operator would like access via Roncalliplatz	Cathedral hotel operator wants access via Roncalliplatz
119821	Federer warns of Melbourne Start - Liverpool fan Wozniacki 	Federer warns of Melbourne start - Liverpool fan Wozniacki	Federer warns of Melbourne start - Liverpool fan Wozniacki
119823	Frankfurt Airport is preparing for warning strike 	Frankfurt Airport is preparing for a warning strike	Frankfurt Airport prepares for warning strike
119824	Three Germans killed at avalanche departure in Austria 	Three Germans killed in an avalanche in Austria	Three Germans killed in avalanche in Austria
119825	Robert de Niro would never play Trump 	Robert De Niro would never play Trump	Robert De Niro would never play Trump
119826	Florian Silbereisen wants to keep his Helene tattoo 	Florian Silbereisen wants to keep his Helene tattoo	Florian Silbereisen wants to keep his Helene tattoo
119827	Gartner: PC market further declining 	Gartner: PC market continues to decline	Gartner: PC market continues to decline
119828	Helene Fischer and Florian Silbereisen show big emotions 	Helene Fischer and Florian Silbereisen show great emotions	Helene Fischer and Florian Silbereisen show great emotions
119830	Kerner gets Kaiser-Augustus-Order 	Kerner receives the Emperor Augustus Order	Kerner receives Order of the Emperor Augustus
119831	Process for murder of own daughter in Dusseldorf 	Trial for the murder of his own daughter in Düsseldorf	Trial for murder of own daughter in Düsseldorf
119832	Constitutional Court takes on sanctions under the magnifying glass 	Constitutional Court scrutinizes sanctions	Constitutional court takes a close look at sanctions
119833	Palmer: Green should approach AFD voters 	Palmer: Greens should approach AfD voters	Palmer: Greens should reach out to AfD voters
119834	Tears when farewell: Biathlete Rösch ends career 	Farewell tears: Biathlete Rösch ends his career	Tears at farewell: biathlete Rösch ends career
119836	Prank excludes 16 years Sc Freiburg 	Streich excludes 16 years of SC Freiburg	Streich excludes 16 years SC Freiburg
119837	Katharina Talfach is looking forward to GDR movies 	Katharina Thalbach is happy about GDR films	Katharina Thalbach enjoys GDR films
119839	After espionage: Huawei separates from manager 	After suspicion of espionage: Huawei separates from manager	After suspicion of espionage: Huawei parts with manager
119840	Cologne Baths Recorded 2018 new visitor record 	Cologne baths recorded a new visitor record in 2018	Cologne pools record new visitor numbers in 2018
119841	Separation among professionals: grabbed with fisherman and silver iron 	Separation among professionals: Seized with Fischer and Silbereisen	Separation among professionals: Moved with Fischer and Silbereisen
119842	US presenter Megyn Kelly and NBC are finally separate 	US presenter Megyn Kelly and NBC split up for good	US host Megyn Kelly and NBC part ways for good
119843	"Nerja Cave celebrates 60. ""Birthday"" "	"Nerja Cave celebrates its 60th ""birthday"""	"Nerja Cave celebrates 60th ""birthday""."
119844	Tatort: true lies 	Crime scene: True lies	Crime scene: True lies
119845	Interest in Marc Stendera - Unification with Kingsley Schindler 	Interest in Marc Stendera - Agreement with Kingsley Schindler	Interest in Marc Stendera - Agreement with Kingsley Schindler
119846	BVB coach Favre compares football with cake jaws 	BVB coach Favre compares football with baking cakes	BVB coach Favre compares soccer with baking cakes
119847	Tourists Reichmann congratulates to victory against Brazil 	Vacationer Reichmann congratulates on the victory against Brazil	Vacationer Reichmann congratulates on victory against Brazil
119848	Götze: Drag the right conclusions from depths 	Götze: Draw the right conclusions from the depths	Götze: Drawing the right conclusions from depths
119849	Mario Götze: Drag the right conclusions from depths 	Mario Götze: Draw the right conclusions from the depths	Mario Götze: Drawing the right conclusions from depths
119851	Action against sexual harassment in the carnival presented 	Action against sexual harassment presented in carnival	Action against sexual harassment in carnival presented
119852	Duo Duked Sleeping Man in KVB Train 	Duo steals sleeping man in KVB train	Duo steals from sleeping man in KVB train
119853	Return of Karabatic for game against Germany open 	Karabatic returns open to play against Germany	Karabatic's return open for match against Germany
119855	Blaszczykowski wants to help Wisla Krakow from the misery 	Blaszczykowski wants to help Wisla Krakow out of trouble	Blaszczykowski wants to help Wisla Krakow out of its misery
119856	Winter Game succeeds all around - just the sharks of pussies 	Winter Game is a complete success - only the sharks fail	Winter Game succeeds all around - Only the sharks slip up
119857	AFD wants the abolition of the EU Parliament 	AfD wants the abolition of the EU Parliament	AfD wants the abolition of the EU Parliament
119858	Cologne crashes against KVB train and is seriously injured 	Kölner crashes against KVB-Bahn and is seriously injured	Cologne man falls against KVB train and is seriously injured
119859	US Election 2020: Other Democrats throw hat in the ring 	2020 US election: More Democrats throw their hats in the ring	U.S. Election 2020: More Democrats Throw Hats in the Ring
119860	The next German group opponent Russia 	The next German group opponent Russia	The next German group opponent Russia
119861	"""Stop"" calls reacted upon appearance of CAT Ballou - Band "	"""Stop"" calls at the performance of Cat Ballou - band reacts"	"""Stop"" shouts at Cat Ballou performance - band reacts"
119862	54-year-old car driver dies in snow traffic on the A8 	54-year-old car driver dies in a snow jam on the A8	54-year-old woman driver dies in snow pile-up on A8 motorway
119864	Hardwich, plum and mockridge compete for television price 	Hartwich, Pflaume and Mockridge compete for the television award	Hartwich, Pflaume and Mockridge compete for TV prize
119865	Hope for Germania: First financial syringe in sight 	Glimmer of hope for Germania: first financial injection in sight	Glimmer of hope for Germania: First financial injection in sight
119866	Car driver died after traffic accident at Aachen 	Car driver died after a traffic accident near Aachen	Female driver dies after traffic accident near Aachen
119867	Man dies after attack against police officers 	Man dies after attack against police officers	Man dies after attack against police officers
119868	US Ambassador warns German companies before sanctions 	US ambassador warns German companies of sanctions	US ambassador warns German firms against sanctions
119870	Debate for Mesut Özil - coach EMERY avoids confession 	Debate about Mesut Özil - coach Emery avoids confession	Debate about Mesut Özil - Coach Emery avoids confession
119872	Audi overlooks A61 between Bergheim and Kerpen 	Audi overturns on the A61 between Bergheim and Kerpen	Audi overturns on A61 between Bergheim and Kerpen
119873	Dutch royal family is moved 	Dutch royal family has moved	Dutch royal family has moved
